Player,Position,Team,Opp.,PaCom,PaAtt,PaYds,PaTD,PaINT,RuAtt,RuYds,RuTD,Fum.,Tar,Rec,ReYds,ReTD,FPTS
Kendre Miller,RB,NO,,0,0,0,0,0,56.1,235.4,1.4,,13.9,10.7,75.3,0.2,46
Noah Brown,WR,WAS,,0,0,0,0,0,0,0,0,,39,24.4,295.8,1.7,52
Oronde Gadsden,TE,LAC,,0,0,0,0,0,0,0,0,,39.4,26.7,262.7,1.7,49.8
Taysom Hill,TE,NO,,0,0,0,0,0,30.6,151.9,1.5,,20,14.2,121.3,1,49.4
KaVontae Turpin,WR,DAL,,0,0,0,0,0,11.1,64.4,0.2,,30.3,18.9,228.3,1.9,51.3
Elijah Moore,WR,BUF,,0,0,0,0,0,3.7,20.8,0.1,,38.7,23.2,264.4,1.7,50.9
Tre Tucker,WR,LV,,0,0,0,0,0,7.2,39.9,0.1,,34.7,21.5,277.6,1.3,50.9
Ray-Ray McCloud III,WR,ATL,,0,0,0,0,0,3.7,19.7,0.1,,40.1,25.8,260.3,1.4,49.9
Michael Mayer,TE,LV,,0,0,0,0,0,0,0,0,,35.4,24.6,246.8,1.7,47.2
Brandin Cooks,WR,NO,,0,0,0,0,0,0.7,2.7,0,,41.2,23.5,282.3,1.6,49.9
Tory Horton,WR,SEA,,0,0,0,0,0,0,0,0,,38.4,23.1,288.7,1.4,48.8
DJ Giddens,RB,IND,,0,0,0,0,0,50.1,214.6,1.2,,11.8,8.4,61.9,0.2,40.3
Marquez Valdes-Scantling,WR,SEA,,0,0,0,0,0,0,0,0,,33.8,18,287.8,1.7,48
AJ Barner,TE,SEA,,0,0,0,0,0,0,0,0,,32.6,23.1,237.6,1.6,44.9
Jordan James,RB,SF,,0,0,0,0,0,41.4,171.9,1.5,,13.3,8.8,64.9,0.3,38.9
Jaylin Lane,WR,WAS,,0,0,0,0,0,2.9,15.2,0,,32.4,20.2,257.3,1.7,47.6
Isaac TeSlaa,WR,DET,,0,0,0,0,0,0,0,0,,34.2,20.5,266.4,1.6,46.5
Raheem Mostert,RB,LV,,0,0,0,0,0,46.4,197.4,1.2,,9.4,7.7,54.7,0.2,37.5
Will Dissly,TE,LAC,,0,0,0,0,0,0,0,0,,32.3,24.9,225.5,1.3,42.8
Troy Franklin,WR,DEN,,0,0,0,0,0,0.9,5.7,0,,30.7,17.9,238.5,1.9,44.8
Elijah Mitchell,RB,KC,,0,0,0,0,0,36.7,156.8,1.3,,12.7,9.5,66.3,0.2,36.1
Austin Hooper,TE,NE,,0,0,0,0,0,0,0,0,,30.3,21,211.5,1.6,41.3
Devin Neal,RB,NO,,0,0,0,0,0,46.5,192.2,1.3,,9.3,6.2,44.4,0.2,35.8
Tahj Brooks,RB,CIN,,0,0,0,0,0,41.7,171.8,0.9,,13.5,9,64.5,0.3,35.3
Jordan Whittington,WR,LAR,,0,0,0,0,0,0.9,6.2,0,,29,19.6,234.9,1.6,43.5
Jermaine Burton,WR,CIN,,0,0,0,0,0,0,0,0,,28.5,17.3,227.5,2,43.4
Keaton Mitchell,RB,BAL,,0,0,0,0,0,45.1,197.8,1.2,,4.4,4.4,35.1,0.1,33.3
Tai Felton,WR,MIN,,0,0,0,0,0,0,0,0,,32.4,19.4,245.1,1.4,42.6
Dawson Knox,TE,BUF,,0,0,0,0,0,0,0,0,,26,17.7,191.7,1.9,39.4
Ty Johnson,RB,BUF,,0,0,0,0,0,25.7,110.9,0.8,,13.7,9.6,93.2,0.6,33.6
Greg Dortch,WR,ARZ,,0,0,0,0,0,3.1,19.1,0,,30.8,22.1,220.1,1.2,42.2
Tim Patrick,WR,DET,,0,0,0,0,0,0,0,0,,24.6,16.4,205.2,1.6,38.3
Trevor Etienne,RB,CAR,,0,0,0,0,0,39.8,170.7,0.8,,11.5,7.7,56,0.2,32.5
Luke Musgrave,TE,GB,,0,0,0,0,0,0,0,0,,25.9,18.5,187.4,1.5,37
Foster Moreau,TE,NO,,0,0,0,0,0,0,0,0,,25.4,17.7,190,1.5,36.9
Sean Tucker,RB,TB,,0,0,0,0,0,36.7,160.7,1.2,,7,5.6,39.5,0.1,30.6
A.J. Dillon,RB,PHI,,0,0,0,0,0,41.2,167,1.1,,5.3,5.3,38.4,0.1,30.4
Ollie Gordon II,RB,MIA,,0,0,0,0,0,33,138.8,1.1,,8.2,6.8,47.2,0.2,29.8
Isaiah Davis,RB,NYJ,,0,0,0,0,0,34.5,145.7,0.6,,10.2,8.2,56.8,0.2,29.2
Luke McCaffrey,WR,WAS,,0,0,0,0,0,0,0,0,,29,18.5,213,1.2,37.8
Jaleel McLaughlin,RB,DEN,,0,0,0,0,0,29.1,128.5,0.5,,11.9,9.5,61.7,0.3,28.6
Parker Washington,WR,JAX,,0,0,0,0,0,0,0,0,,31.1,18.6,211.4,1.1,37
Kyle Juszczyk,RB,SF,,0,0,0,0,0,6.9,27.5,0.1,,20.1,15.1,127.3,0.6,27.2
Demarcus Robinson,WR,SF,,0,0,0,0,0,0,0,0,,26.4,14.2,203.7,1.5,36.5
Gunnar Helm,TE,TEN,,0,0,0,0,0,0,0,0,,26.3,16.9,163.3,1.3,32.6
Mack Hollins,WR,NE,,0,0,0,0,0,0,0,0,,24.8,14.9,203.9,1.3,35.6
Devin Singletary,RB,NYG,,0,0,0,0,0,36.1,144.2,0.7,,9.3,6.2,40.6,0.2,27
Josh Oliver,TE,MIN,,0,0,0,0,0,0,0,0,,24.5,17,168.7,1.1,32
Samaje Perine,RB,CIN,,0,0,0,0,0,16.4,65.7,0.3,,14.7,12.2,91.6,0.4,26
Savion Williams,WR,GB,,0,0,0,0,0,9.6,52.3,0.3,,19.9,12,137.6,1.2,34
Kenneth Gainwell,RB,PIT,,0,0,0,0,0,27.4,113.2,0.7,,10.3,7.5,52.3,0.2,25.7
Luke Schoonmaker,TE,DAL,,0,0,0,0,0,0,0,0,,24.1,16.1,152.3,1.3,31.1
Antonio Gibson,RB,NE,,0,0,0,0,0,28.5,115,0.5,,11.9,8,56.8,0.2,25.4
Damien Martinez,RB,SEA,,0,0,0,0,0,28.8,120.3,0.6,,10.6,7.1,48.1,0.2,25.2
Kayshon Boutte,WR,NE,,0,0,0,0,0,0,0,0,,24.1,16.1,196.7,1,33.7
Emari Demercado,RB,ARZ,,0,0,0,0,0,18.6,80.9,0.4,,14.3,11,74,0.2,24.6
Alexander Mattison,RB,MIA,,0,0,0,0,0,26.3,103.8,0.9,,9.1,6,43.8,0.2,24.4
Xavier Restrepo,WR,TEN,,0,0,0,0,0,0,0,0,,25,16.1,186,1.1,33.3
KeAndre Lambert-Smith,WR,LAC,,0,0,0,0,0,0,0,0,,23.3,15.5,192.7,0.9,32.4
Aaron Rodgers,QB,PIT,,264.7,402.7,2838.7,17.6,8.8,24.1,76.7,0.8,,0,0,0,0,222.8
Cade Stover,TE,HOU,,0,0,0,0,0,0,0,0,,21.7,15.8,150.9,1.1,29.6
Sincere McCormick,RB,LV,,0,0,0,0,0,25.6,105.9,0.9,,6.6,5.5,37.3,0.1,23.1
Chimere Dike,WR,TEN,,0,0,0,0,0,0.7,4.7,0,,22.9,14.4,182.6,0.9,31.3
Dameon Pierce,RB,HOU,,0,0,0,0,0,33.4,128,0.7,,4.5,3.5,24.9,0.1,21.8
Tommy Tremble,TE,CAR,,0,0,0,0,0,0,0,0,,20.5,13.6,138.2,1.2,27.8
Christian Watson,WR,GB,,0,0,0,0,0,1.7,9.2,0,,19.3,10.8,168.9,1.3,31
Allen Lazard,WR,NYJ,,0,0,0,0,0,0,0,0,,22.3,13.6,172.4,1,30
Julian Hill,TE,MIA,,0,0,0,0,0,0,0,0,,20.6,13.8,135.3,1.1,27
Curtis Samuel,WR,BUF,,0,0,0,0,0,2.8,14.2,0,,19.7,13.4,141.2,1,28.2
Khalil Herbert,RB,IND,,0,0,0,0,0,25.5,109.4,0.6,,4.7,4.7,32.3,0.1,20.7
Emanuel Wilson,RB,GB,,0,0,0,0,0,22.8,97.3,0.6,,6.7,5.4,36.7,0.1,20.3
Chris Brooks,RB,GB,,0,0,0,0,0,24.6,109.8,0,,9.3,7.5,50.4,0,19.8
Phil Mafah,RB,DAL,,0,0,0,0,0,24.3,96.2,0.6,,5,3.9,34,0.2,19.8
Elijah Higgins,TE,ARZ,,0,0,0,0,0,0,0,0,,18.4,14,129.7,0.9,25.4
